,Spinning Light Wand Adaptation,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
,Version: V1.0,Date Created: 2022-Apr-13, $9.76 ,6.13,63,,,,,,,
ID,Commercial Parts,,,,,,,,,,,
,,Model,QTY,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
1,Spinning Light Wand Toy,SKU 6000201173988,1,1, $5.00 , $5.00 , $5.00 ,,https://www.walmart.ca/en/ip/spinning-light-wand-yellowblue/6000201173987,,,
2,3.5 mm Mono Jack,Shurter 4832.2211,1,1, $2.02 , $2.02 , $2.02 ,,https://www.digikey.ca/en/products/detail/schurter-inc/4832-2211/2646631,,,
3,"1/2"" Hex Nuts",,2,1, $0.58 , $0.58 , $1.16 ,,https://www.homedepot.ca/product/paulin-1-2-13-inch-finished-hex-nut-zinc-plated-grade-5-unc/1000123718,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,3D Printed Parts                                                                                     ESTIMATED PRICING USING 1 KG ROLL COST:, $25.00 ,,,,,,,,,,
,Part,,QTY,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
4,Wand Holder Base,Base.stl,1,53, $1.33 ,320,,,,,,
5,Base Bottom Cover,Base_Bottom_Cover.stl,1,10, $0.25 ,48,,,,,,
,,,,, $-   ,,,,,,,
,,,,, $-   ,,,,,,,
,,,,, $-   ,,,,,,,
,,,,Total Print Cost:, $1.58 ,,,,,,,
,Tools for Assembly,,,,,,,,,,,
,#0 Phillips Screwdriver,,,,,,,,,,,
,Flat head screwdriver,,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,
,Hot glue gun,,,,,,,,,,,
,Super Glue,,,,,,,,,,,
,,,,,,,,,,,,
,Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
,Part and description,Link,,,,,,,,,,
,3.5 mm Mono Jack,https://www.digikey.ca/en/products/detail/cui-devices/SJ1-3513/738683,,,,,,,,,,
